| 12:59:50.322839758 | INFO | on_chain_event_indexer | Полученно 23 подписей, всего 23
| 17:16:37.253377401 | INFO | on_chain_event_indexer | Полученно 23 подписей, всего 23
| 20:21:05.859357643 | INFO | on_chain_event_indexer | Полученно 23 подписей, всего 23
| 20:24:24.362871365 | INFO | on_chain_event_indexer | Полученно 1000 подписей, всего 1000
| 20:24:24.631173758 | INFO | on_chain_event_indexer | Полученно 1000 подписей, всего 2000
| 20:24:25.129237656 | INFO | on_chain_event_indexer | Полученно 1000 подписей, всего 3000
| 20:24:25.398458434 | INFO | on_chain_event_indexer | Полученно 1000 подписей, всего 4000
| 20:24:25.651792782 | INFO | on_chain_event_indexer | Полученно 1000 подписей, всего 5000
| 20:24:25.908221513 | INFO | on_chain_event_indexer | Полученно 1000 подписей, всего 6000
| 20:24:26.439698185 | INFO | on_chain_event_indexer | Полученно 1000 подписей, всего 7000
| 20:24:26.732922881 | INFO | on_chain_event_indexer | Полученно 1000 подписей, всего 8000
| 20:24:27.020771042 | INFO | on_chain_event_indexer | Полученно 1000 подписей, всего 9000
| 20:24:27.514101046 | INFO | on_chain_event_indexer | Полученно 1000 подписей, всего 10000
| 20:24:27.791595396 | INFO | on_chain_event_indexer | Полученно 1000 подписей, всего 11000
| 20:24:28.295147983 | INFO | on_chain_event_indexer | Полученно 1000 подписей, всего 12000
| 20:24:28.583460969 | INFO | on_chain_event_indexer | Полученно 1000 подписей, всего 13000
| 20:24:28.852264438 | INFO | on_chain_event_indexer | Полученно 1000 подписей, всего 14000
| 20:24:29.130472616 | INFO | on_chain_event_indexer | Полученно 1000 подписей, всего 15000
| 20:24:29.384709300 | INFO | on_chain_event_indexer | Полученно 1000 подписей, всего 16000
| 20:24:29.652381441 | INFO | on_chain_event_indexer | Полученно 824 подписей, всего 16824
| 20:34:39.132210810 | INFO | on_chain_event_indexer | Полученно 1000 подписей, всего 1000
| 20:38:41.108632794 | INFO | on_chain_event_indexer | Полученно 1000 подписей, всего 1000
| 20:38:41.120888673 | INFO | on_chain_event_indexer | Сохраненно в базу данных
| 20:38:41.394800326 | INFO | on_chain_event_indexer | Полученно 1000 подписей, всего 2000
| 20:38:41.402079002 | INFO | on_chain_event_indexer | Сохраненно в базу данных
| 20:38:41.667307146 | INFO | on_chain_event_indexer | Полученно 1000 подписей, всего 3000
| 20:38:41.675151086 | INFO | on_chain_event_indexer | Сохраненно в базу данных
| 20:38:42.333117412 | INFO | on_chain_event_indexer | Полученно 1000 подписей, всего 4000
| 20:38:42.340807682 | INFO | on_chain_event_indexer | Сохраненно в базу данных
